ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-24,-24.69069577462365,-141.3566995036832,142.30554215812532,-24.69069577462365,-24.69069577462365,22.48200323103214,22.48200323103214,22.48200323103214,22.48200323103214,22.48200323103214,22.48200323103214,0.0,0.0,0.0,-2.208692543591507
2020-01-25,-23.654590837432607,-175.25472119606718,94.83664714177256,-23.654590837432607,-23.654590837432607,-16.825882111702654,-16.825882111702654,-16.825882111702654,-16.825882111702654,-16.825882111702654,-16.825882111702654,0.0,0.0,0.0,-40.48047294913526
2020-01-26,-22.61848590024156,-175.6549212620513,108.49798041971135,-22.61848590024156,-22.61848590024156,-6.632832863255701,-6.632832863255701,-6.632832863255701,-6.632832863255701,-6.632832863255701,-6.632832863255701,0.0,0.0,0.0,-29.25131876349726
2020-01-27,-21.582380963050518,-162.29337791126696,104.67670204853148,-21.582380963050518,-21.582380963050518,-3.5569712728277953,-3.5569712728277953,-3.5569712728277953,-3.5569712728277953,-3.5569712728277953,-3.5569712728277953,0.0,0.0,0.0,-25.139352235878313
2020-01-28,-20.54627586104857,-164.02912140865516,109.93442848691298,-20.54627586104857,-20.54627586104857,-4.945404487559647,-4.945404487559647,-4.945404487559647,-4.945404487559647,-4.945404487559647,-4.945404487559647,0.0,0.0,0.0,-25.491680348608217
2020-01-29,-19.510170759046627,-166.21513224237887,108.82599338119421,-19.510170759046627,-19.510170759046627,-7.717174810162456,-7.717174810162456,-7.717174810162456,-7.717174810162456,-7.717174810162456,-7.717174810162456,0.0,0.0,0.0,-27.227345569209085
2020-01-30,-18.474065657044683,-145.37129700966742,130.0029973476117,-18.474065657044683,-18.474065657044683,17.196262314513863,17.196262314513863,17.196262314513863,17.196262314513863,17.196262314513863,17.196262314513863,0.0,0.0,0.0,-1.2778033425308202
2020-01-31,-17.43796054892958,-127.64765373768385,143.08891736300802,-17.43796054892958,-17.43796054892958,22.48200323114882,22.48200323114882,22.48200323114882,22.48200323114882,22.48200323114882,22.48200323114882,0.0,0.0,0.0,5.044042682219239
2020-02-01,-16.40185544081448,-159.64898000897972,110.53178082581985,-16.40185544081448,-16.40185544081448,-16.82588211170857,-16.82588211170857,-16.82588211170857,-16.82588211170857,-16.82588211170857,-16.82588211170857,0.0,0.0,0.0,-33.22773755252305
2020-02-02,-15.365750332699378,-164.6597426938066,117.61746315460996,-15.365750332699378,-15.365750332699378,-6.63283286324548,-6.63283286324548,-6.63283286324548,-6.63283286324548,-6.63283286324548,-6.63283286324548,0.0,0.0,0.0,-21.998583195944857
