ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-24,-19.764341499285063,-361.59552981799203,501.9747457742445,-19.764341499285063,-19.764341499285063,75.369280612552,75.369280612552,75.369280612552,75.369280612552,75.369280612552,75.369280612552,0.0,0.0,0.0,55.60493911326694
2020-01-25,-19.017868893787924,-394.65969715019463,507.19889673533544,-19.017868893787924,-19.017868893787924,70.47852773211959,70.47852773211959,70.47852773211959,70.47852773211959,70.47852773211959,70.47852773211959,0.0,0.0,0.0,51.46065883833167
2020-01-26,-18.271396288290784,-471.3329135567566,426.7367594283213,-18.271396288290784,-18.271396288290784,-14.734865160354854,-14.734865160354854,-14.734865160354854,-14.734865160354854,-14.734865160354854,-14.734865160354854,0.0,0.0,0.0,-33.00626144864564
2020-01-27,-17.524923682793645,-498.6942181681028,395.2855862032489,-17.524923682793645,-17.524923682793645,-52.43470744244132,-52.43470744244132,-52.43470744244132,-52.43470744244132,-52.43470744244132,-52.43470744244132,0.0,0.0,0.0,-69.95963112523496
2020-01-28,-16.778451121480707,-537.3713507851973,373.10256282701545,-16.778451121480707,-16.778451121480707,-63.25989327494394,-63.25989327494394,-63.25989327494394,-63.25989327494394,-63.25989327494394,-63.25989327494394,0.0,0.0,0.0,-80.03834439642465
2020-01-29,-16.031978560167765,-455.8068626050562,430.4793238345275,-16.031978560167765,-16.031978560167765,-4.583997836996352,-4.583997836996352,-4.583997836996352,-4.583997836996352,-4.583997836996352,-4.583997836996352,0.0,0.0,0.0,-20.61597639716412
2020-01-30,-15.285505998854823,-461.377813211433,451.40324215330327,-15.285505998854823,-15.285505998854823,-10.834344629576012,-10.834344629576012,-10.834344629576012,-10.834344629576012,-10.834344629576012,-10.834344629576012,0.0,0.0,0.0,-26.119850628430836
2020-01-31,-14.539033504793679,-395.4269146586458,498.1920432061985,-14.539033504793679,-14.539033504793679,75.36928061223713,75.36928061223713,75.36928061223713,75.36928061223713,75.36928061223713,75.36928061223713,0.0,0.0,0.0,60.830247107443455
2020-02-01,-13.792561010732532,-380.61924401831845,501.340666643795,-13.792561010732532,-13.792561010732532,70.47852773198242,70.47852773198242,70.47852773198242,70.47852773198242,70.47852773198242,70.47852773198242,0.0,0.0,0.0,56.68596672124989
2020-02-02,-13.046088516671386,-465.93262260576864,399.72816643881373,-13.046088516671386,-13.046088516671386,-14.73486516045129,-14.73486516045129,-14.73486516045129,-14.73486516045129,-14.73486516045129,-14.73486516045129,0.0,0.0,0.0,-27.780953677122675
2020-02-03,-12.299615969311748,-477.06384336166155,411.58983567523734,-12.299615969311748,-12.299615969311748,-52.4347074423826,-52.4347074423826,-52.4347074423826,-52.4347074423826,-52.4347074423826,-52.4347074423826,0.0,0.0,0.0,-64.73432341169435
2020-02-04,-11.553143421952113,-523.8096675115121,326.53954719745025,-11.553143421952113,-11.553143421952113,-63.259893274930874,-63.259893274930874,-63.259893274930874,-63.259893274930874,-63.259893274930874,-63.259893274930874,0.0,0.0,0.0,-74.81303669688299
2020-02-05,-10.806670874592474,-464.7516146392518,445.07249757869886,-10.806670874592474,-10.806670874592474,-4.5839978369754375,-4.5839978369754375,-4.5839978369754375,-4.5839978369754375,-4.5839978369754375,-4.5839978369754375,0.0,0.0,0.0,-15.390668711567912
